PPMXL,RAJ2000[deg],DEJ2000[deg],pmRA[mas/yr],pmDE[mas/yr],e_pmRA[mas/yr],e_pmDE[mas/yr],Jmag[mag],e_Jmag[mag],Kmag[mag],e_Kmag[mag],Chi_squared
413162000000000000,53.140154,49.54987,20.8,-23.8,5.4,5.4,15.367,0.049,14.516,0.065,0.3699200948225943
413163000000000000,53.241067,49.529724,16.6,-24.9,4.0,4.0,14.507,0.04,13.658,0.038,2.3963354329637876
413165000000000000,53.254373,49.609889,16.3,-21.1,4.1,4.1,15.117,0.047,14.233,0.056,4.018340217137771
413188000000000000,53.288729,49.669232,20.7,-31.1,4.0,4.0,14.81,0.059,14.142,0.058,1.5026834927661843
413189000000000000,53.377598,49.694621,20.3,-35.0,4.0,4.0,13.733,0.028,12.84,0.026,4.652299503091462
413170000000000000,53.501187,49.502936,26.0,-19.9,5.4,5.4,15.493,0.05,14.511,0.07,1.8175177845267683
413198000000000000,53.598946,49.738423,16.1,-24.8,4.1,4.1,15.198,0.038,14.45,0.069,2.667834644040557
509281000000000000,53.882227,49.726104,20.1,-31.1,4.0,4.0,14.345,0.029,13.484,0.029,1.6694826132463239
509282000000000000,53.934049,49.680757,15.2,-27.9,4.1,4.1,15.161,0.04,14.684,0.082,3.336600087114823
510033000000000000,54.048321,49.656821,31.2,-27.3,4.0,4.0,13.351,0.026,12.449,0.024,4.317030884672868
510048000000000000,54.516298,49.545478,12.5,-23.4,5.5,5.5,15.378,0.06,14.306,0.076,3.6863955713565284
